Source,Target,Type,Weight
Above Rocks,Annotto Bay,Undirected,1
Above Rocks,Bog Walk,Undirected,1
Above Rocks,Constant Spring,Undirected,1
Above Rocks,Ewarton,Undirected,1
Above Rocks,Gordon Town,Undirected,1
Albert Town,Alexandria,Undirected,1
Albert Town,Balaclava,Undirected,1
Albert Town,Brown's Town,Undirected,1
Albert Town,Cave Valley,Undirected,1
Albert Town,Christiana,Undirected,1
Alexandria,Albert Town,Undirected,1
Alexandria,Bamboo,Undirected,1
Alexandria,Brown's Town,Undirected,1
Alexandria,Cave Valley,Undirected,1
Alligator Pond,Bull Savanna,Undirected,1
Alligator Pond,Malvern,Undirected,1
Alligator Pond,Mandeville,Undirected,1
Alligator Pond,Nain,Undirected,1
Alligator Pond,Porus,Undirected,1
Anchovy,Bethel Town,Undirected,1
Anchovy,Cambridge,Undirected,1
Anchovy,Cascade,Undirected,1
Anchovy,Darliston,Undirected,1
Anchovy,Maroon Town,Undirected,1
Annotto Bay,Above Rocks,Undirected,1
Annotto Bay,Buff Bay,Undirected,1
Annotto Bay,Constant Spring,Undirected,1
Annotto Bay,Guy's Hill,Undirected,1
Balaclava,Albert Town,Undirected,1
Balaclava,Christiana,Undirected,1
Balaclava,Coleyville,Undirected,1
Balaclava,Lacovia,Undirected,1
Bamboo,Alexandria,Undirected,1
Bamboo,Brown's Town,Undirected,1
Bamboo,Cave Valley,Undirected,1
Bamboo,Claremont,Undirected,1
Bath,Dalvey,Undirected,1
Bath,Golden Grove,Undirected,1
Bath,Manchioneal,Undirected,1
Bath,Moore Town,Undirected,1
Bath,Morant Bay,Undirected,1
Bethel Town,Anchovy,Undirected,1
Bethel Town,Bluefields,Undirected,1
Bethel Town,Cambridge,Undirected,1
Bethel Town,Cascade,Undirected,1
Black River,Bluefields,Undirected,1
Black River,Brompton,Undirected,1
Black River,Lacovia,Undirected,1
Black River,Maggotty,Undirected,1
Black River,Malvern,Undirected,1
Bluefields,Bethel Town,Undirected,1
Bluefields,Black River,Undirected,1
Bluefields,Brompton,Undirected,1
Bog Walk,Above Rocks,Undirected,1
Bog Walk,Croft's Hill,Undirected,1
Bog Walk,Ewarton,Undirected,1
Bog Walk,Guy's Hill,Undirected,1
Brompton,Black River,Undirected,1
Brompton,Bluefields,Undirected,1
Brompton,Darliston,Undirected,1
Brown's Town,Albert Town,Undirected,1
Brown's Town,Alexandria,Undirected,1
Buff Bay,Annotto Bay,Undirected,1
Buff Bay,Constant Spring,Undirected,1
Buff Bay,Gordon Town,Undirected,1
Buff Bay,Highgate,Undirected,1
Bull Savanna,Alligator Pond,Undirected,1
Bull Savanna,Malvern,Undirected,1
Bull Savanna,Mandeville,Undirected,1
Bull Savanna,Nain,Undirected,1
Cambridge,Anchovy,Undirected,1
Cambridge,Bethel Town,Undirected,1
Cambridge,Bluefields,Undirected,1
Cascade,Anchovy,Undirected,1
